,f1-score,precision,recall,support
Green,0.7872340425531914,0.7184466019417476,0.8705882352941177,85.0
GreenRed,0.5263157894736842,1.0,0.35714285714285715,14.0
GreenYellow,0.5,0.6,0.42857142857142855,7.0
Purple,0.8571428571428571,0.8759124087591241,0.8391608391608392,143.0
PurpleYellow,0.8506493506493507,0.8238993710691824,0.8791946308724832,149.0
Red,0.8571428571428571,0.84375,0.8709677419354839,31.0
RedYellow,0.5999999999999999,0.6923076923076923,0.5294117647058824,17.0
Yellow,0.8977272727272727,0.9080459770114943,0.8876404494382022,356.0
micro avg,0.8541147132169578,0.8541147132169576,0.8541147132169576,802.0
macro avg,0.7345265212111516,0.807795256386155,0.7078347433901618,802.0
weighted avg,0.8521992944515864,0.8584467462496685,0.8541147132169576,802.0
